(418.6871~547.90308,564.60797~652.06512)
(643.23926~813.42615,579.57812~636.50415)
(872.95367~1059.25159,498.42419~654.45929)
(1150.64832~1309.76672,535.45563~681.29437)
(503.78055~540.32812,342.41956~470.84763)
(642.45135~777.18262,341.65393~416.48236)
(880.39783~1033.81384,345.63058~488.96936)
(1106.11829~1131.73865,354.23807~488.96936)
(1211.27441~1386.23108,390.91452~424.96585)
(394.26212~505.35635,196.65762~280.96317)
(673.1795~797.66809,195.43878~299.87283)
(895.71222~1005.67426,154.8988~289.25204)
(1130.95068~1296.65149,147.80769~288.11154)
