(-252.29857~252.29857,-252.29857~252.29857)
(488.26361~711.73639,-111.7364~84.75064)
(1129.05725~1294.1449,-94.14494~19.26375)
(1719.67188~1846.48621,-80.32816~15.6433)
(2325.31421~2438.13818,-74.68578~74.68578)
(-107.88655~107.88655,496.9791~707.88654)
(523.17572~638.44196,594.02753~676.82428)
(1124.24512~1301.37524,498.62479~701.37524)
(1670.60779~1929.39221,504.65909~729.39221)
(2231.02612~2568.97388,431.02615~768.97382)
(-108.3531~108.3531,1092.86572~1308.35315)
(598.65619~667.18335,1132.81665~1251.80334)
(1117.1001~1259.80957,1117.1001~1204.05237)
