Triangulation: H, 2 polys, 154 nodes
154 triangles:
 67 68 69
 70 67 69
 55 53 54
 96 55 56
 115 97 6
 115 96 97
 116 96 115
 116 55 96
 117 55 116
 118 55 117
 118 53 55
 119 53 118
 120 53 119
 121 53 120
 122 53 121
 123 53 122
 124 53 123
 125 53 124
 126 53 125
 127 53 126
 128 53 127
 129 53 128
 52 53 129
 130 52 129
 51 52 130
 131 51 130
 50 51 131
 49 50 131
 48 49 131
 47 48 131
 132 47 131
 46 47 132
 45 46 132
 133 45 132
 134 45 133
 135 45 134
 136 45 135
 137 45 136
 41 137 138
 41 45 137
 42 45 41
 44 45 42
 43 44 42
 63 64 65
 66 63 65
 70 66 67
 72 66 70
 72 63 66
 62 63 72
 73 62 72
 8 9 10
 110 111 8
 109 110 8
 108 109 8
 108 8 10
 11 108 10
 107 108 11
 12 107 11
 106 107 12
 13 106 12
 14 106 13
 15 106 14
 105 106 15
 16 105 15
 17 105 16
 18 105 17
 104 105 18
 19 104 18
 103 104 19
 20 103 19
 102 103 20
 101 102 20
 153 101 20
 152 153 20
 151 152 20
 150 151 20
 149 150 20
 148 149 20
 21 148 20
 24 148 21
 147 148 24
 25 147 24
 26 147 25
 27 147 26
 146 147 27
 28 146 27
 145 146 28
 144 145 28
 143 144 28
 142 143 28
 39 141 142
 39 142 28
 33 39 28
 32 33 28
 31 32 28
 29 31 28
 30 31 29
 100 98 99
 0 98 100
 2 0 1
 3 0 2
 4 0 3
 97 0 4
 97 98 0
 6 97 4
 5 6 4
 59 60 61
 62 59 61
 73 59 62
 74 59 73
 75 59 74
 76 59 75
 77 59 76
 79 59 77
 80 59 79
 83 80 81
 83 59 80
 84 59 83
 85 59 84
 88 59 85
 89 59 88
 91 89 90
 92 89 91
 93 89 92
 94 89 93
 58 94 95
 58 89 94
 58 59 89
 57 58 95
 56 57 95
 96 56 95
 34 39 33
 34 38 39
 35 38 34
 37 38 35
 36 37 35
 23 24 21
 22 23 21
 114 115 6
 113 114 6
 112 113 6
 7 112 6
 8 112 7
 111 112 8
 139 41 138
 40 41 139
 140 40 139
 141 40 140
 39 40 141
 71 72 70
 86 88 85
 87 88 86
 82 83 81
 78 79 77
DwgArea: 84550.84
TriArea: 84550.84
