Triangulation: I, 9 polys, 259 nodes
273 triangles:
 1 2 145
 1 145 146
 2 3 56
 3 4 55
 4 5 55
 5 6 55
 6 7 55
 7 8 54
 8 9 54
 9 10 54
 10 11 52
 11 12 52
 12 13 52
 13 14 52
 14 15 52
 15 16 52
 16 17 20
 17 18 19
 20 17 19
 21 16 20
 21 22 50
 22 23 255
 23 24 255
 24 25 255
 26 255 25
 27 255 26
 28 255 27
 29 255 28
 30 255 29
 31 255 30
 32 255 31
 33 255 32
 40 2 63
 41 42 142
 42 43 140
 43 44 140
 44 45 140
 45 46 139
 46 47 139
 48 49 135
 49 50 255
 50 22 255
 51 16 21
 51 21 50
 52 16 51
 53 54 52
 54 10 52
 55 7 54
 56 3 55
 56 57 59
 56 59 60
 56 60 61
 59 57 58
 62 2 56
 62 56 61
 63 2 62
 64 258 88
 65 66 244
 65 258 64
 67 68 241
 68 69 239
 69 70 239
 70 71 76
 70 76 235
 71 72 75
 74 72 73
 75 72 74
 76 71 75
 76 77 234
 77 78 256
 78 79 256
 79 80 255
 80 175 255
 81 175 80
 82 175 81
 83 175 82
 84 175 83
 85 175 84
 86 87 85
 87 173 85
 88 170 87
 89 254 104
 92 93 256
 93 94 256
 94 95 256
 95 96 256
 96 97 256
 97 228 256
 98 228 97
 99 228 98
 100 228 99
 101 227 100
 102 220 101
 103 220 102
 104 254 103
 105 65 245
 105 245 246
 105 246 108
 105 258 65
 106 107 256
 106 258 105
 107 91 92
 107 92 256
 107 108 91
 108 90 91
 108 252 90
 109 119 155
 110 119 109
 111 119 110
 112 118 111
 113 116 112
 114 115 113
 115 116 113
 116 117 112
 117 118 112
 118 119 111
 119 120 155
 120 121 188
 121 122 188
 122 123 127
 123 124 126
 124 125 126
 127 123 126
 128 122 127
 128 129 187
 130 131 255
 131 132 255
 132 49 255
 133 49 132
 134 49 133
 135 49 134
 136 48 135
 137 47 48
 137 48 136
 138 47 137
 139 47 138
 140 45 139
 141 42 140
 142 42 141
 143 40 41
 143 41 142
 144 2 40
 144 40 143
 145 2 144
 148 149 163
 149 150 163
 150 151 163
 151 152 163
 152 153 193
 153 154 192
 154 155 190
 155 120 189
 156 163 194
 156 194 207
 157 162 156
 158 161 157
 159 160 158
 160 161 158
 161 162 157
 162 163 156
 163 152 194
 164 1 146
 164 146 147
 164 147 148
 164 148 163
 165 1 164
 166 1 165
 167 1 166
 168 169 88
 169 170 88
 170 171 87
 171 172 87
 172 173 87
 173 174 85
 174 175 85
 175 176 255
 176 180 181
 176 181 255
 177 178 176
 178 179 176
 179 180 176
 181 182 255
 182 183 255
 183 129 130
 183 130 255
 184 129 183
 185 129 184
 186 129 185
 187 129 186
 188 122 128
 188 128 187
 189 120 188
 190 155 189
 191 154 190
 192 154 191
 193 153 192
 194 152 193
 194 195 207
 195 196 207
 196 197 207
 197 198 207
 198 199 207
 199 200 207
 200 201 207
 201 202 207
 202 203 206
 203 204 205
 206 203 205
 207 202 206
 208 218 254
 209 218 208
 210 218 209
 211 217 210
 212 215 211
 213 214 212
 214 215 212
 215 216 211
 216 217 211
 217 218 210
 218 219 254
 219 220 103
 220 221 227
 220 227 101
 221 222 226
 222 223 225
 223 224 225
 226 222 225
 227 221 226
 227 228 100
 228 229 256
 229 230 256
 230 231 256
 231 77 256
 232 77 231
 233 77 232
 234 77 233
 235 76 234
 236 70 235
 237 70 236
 238 70 237
 239 70 238
 240 68 239
 241 68 240
 242 67 241
 243 66 67
 243 67 242
 244 66 243
 245 65 244
 246 247 108
 247 248 108
 248 249 108
 249 250 108
 250 251 108
 251 252 108
 252 89 90
 252 253 89
 253 254 89
 254 219 103
 256 79 255
 257 106 256
 257 258 106
 258 0 1
 258 1 167
 258 33 34
 258 34 35
 258 35 36
 258 36 37
 258 37 38
 258 38 39
 258 39 0
 258 167 168
 258 168 88
 258 255 33
DwgArea: 2621.82
TriArea: 2621.82
