Triangulation: J, 67 polys, 818 nodes
948 triangles:
 2 3 1
 3 4 1
 4 5 1
 5 35 1
 6 504 5
 7 504 6
 8 9 7
 9 513 514
 9 514 7
 9 526 513
 10 526 9
 11 526 10
 12 17 525
 12 525 526
 12 526 11
 13 14 12
 14 15 12
 15 16 12
 16 17 12
 17 18 522
 18 19 522
 19 20 522
 20 502 521
 21 502 20
 22 501 21
 23 30 499
 23 499 22
 24 27 23
 25 26 24
 26 27 24
 27 28 23
 28 29 23
 29 30 23
 30 31 511
 30 511 512
 30 512 499
 31 32 508
 32 33 507
 33 34 506
 34 35 5
 35 489 1
 36 489 35
 37 489 36
 38 488 37
 39 45 486
 39 486 38
 40 43 39
 41 43 40
 42 43 41
 43 44 39
 44 45 39
 45 46 485
 45 485 486
 46 47 497
 47 48 495
 48 49 494
 49 50 494
 50 474 493
 51 474 50
 52 474 51
 53 56 52
 54 56 53
 55 56 54
 56 57 52
 57 58 471
 57 471 472
 57 472 52
 58 59 471
 59 60 482
 60 61 482
 61 62 481
 63 64 455
 64 65 378
 65 67 377
 66 67 65
 67 68 374
 68 69 374
 69 70 374
 70 71 610
 70 610 611
 70 611 372
 71 72 722
 72 73 722
 73 74 722
 74 589 722
 75 76 596
 75 596 597
 75 597 74
 76 77 545
 76 545 546
 76 546 547
 76 547 560
 76 560 570
 77 78 80
 78 79 80
 81 527 528
 81 528 631
 81 631 632
 81 632 80
 82 527 81
 83 527 82
 84 642 83
 85 534 535
 85 535 84
 86 87 798
 87 88 798
 88 89 798
 89 90 798
 90 91 798
 91 92 798
 92 93 798
 93 94 438
 94 95 438
 95 96 438
 96 97 438
 97 98 434
 97 434 435
 97 435 436
 97 436 437
 97 437 438
 100 101 99
 101 441 99
 101 817 441
 102 696 101
 103 104 107
 103 696 102
 104 105 106
 107 104 106
 108 695 107
 109 110 111
 109 695 108
 112 109 111
 112 700 109
 113 114 115
 113 115 302
 113 302 316
 113 700 112
 115 116 299
 116 117 299
 117 118 728
 117 728 729
 117 729 299
 118 119 120
 121 282 283
 121 283 120
 122 282 121
 123 341 122
 124 340 123
 125 356 124
 126 129 334
 126 334 335
 126 335 451
 126 451 452
 126 452 453
 126 453 125
 127 129 126
 128 129 127
 129 113 316
 130 113 129
 131 768 130
 132 654 131
 133 134 135
 133 654 132
 136 137 135
 137 630 135
 138 139 137
 139 470 137
 140 62 63
 140 63 469
 140 469 139
 141 0 1
 141 62 140
 142 143 623
 143 144 718
 143 718 623
 144 145 718
 145 146 716
