1. N:\Src\Base\Extensions.cs
2. N:\Src\Base\Structs.cs
1. File(1) : (9,74) .. (9,109) : 1
2. File(1) : (12,55) .. (12,78) : 1
3. File(1) : (15,53) .. (15,76) : 0
4. File(1) : (18,51) .. (18,88) : 0
5. File(1) : (21,55) .. (21,103) : 0
6. File(1) : (25,10) .. (25,45) : 0
7. File(1) : (27,51) .. (27,80) : 0
8. File(1) : (29,51) .. (29,72) : 0
9. File(1) : (32,45) .. (32,69) : 1
10. File(1) : (35,46) .. (35,63) : 1
11. File(1) : (38,47) .. (38,64) : 1
12. File(2) : (11,43) .. (11,90) : 1
13. File(2) : (12,50) .. (12,101) : 1
14. File(2) : (13,76) .. (13,103) : 0
15. File(2) : (15,39) .. (15,40) : 1
16. File(2) : (16,7) .. (16,29) : 1
17. File(2) : (17,10) .. (17,17) : 1
18. File(2) : (17,19) .. (17,25) : 1
19. File(2) : (17,26) .. (17,28) : 1
20. File(2) : (17,29) .. (17,98) : 1
21. File(2) : (18,13) .. (18,65) : 1
22. File(2) : (19,7) .. (19,14) : 1
23. File(2) : (19,16) .. (19,26) : 1
24. File(2) : (19,27) .. (19,29) : 1
25. File(2) : (19,30) .. (19,36) : 1
26. File(2) : (19,38) .. (19,54) : 1
27. File(2) : (19,55) .. (19,70) : 1
28. File(2) : (20,7) .. (20,68) : 1
29. File(2) : (21,4) .. (21,5) : 1
30. File(2) : (22,4) .. (22,57) : 1
31. File(2) : (24,37) .. (24,81) : 0
32. File(2) : (28,4) .. (28,57) : 1
33. File(2) : (29,4) .. (29,71) : 1
34. File(2) : (30,4) .. (30,56) : 1
35. File(2) : (31,4) .. (31,56) : 1
36. File(2) : (32,4) .. (32,58) : 1
37. File(2) : (33,4) .. (33,57) : 1
38. File(2) : (34,4) .. (34,61) : 1
39. File(2) : (35,4) .. (35,62) : 1
40. File(2) : (36,4) .. (36,59) : 1
41. File(2) : (37,4) .. (37,62) : 1
42. File(2) : (38,41) .. (38,54) : 0
43. File(2) : (39,35) .. (39,93) : 0
44. File(2) : (41,25) .. (41,61) : 1
45. File(2) : (42,37) .. (42,97) : 1
46. File(2) : (43,25) .. (43,69) : 1
47. File(2) : (45,4) .. (45,33) : 1
